,Contract_Name,Last Trade Date,Strike,Last_Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied_Volatility,Ticker,C/P
71,NFLX190920C00465000,2019-07-31 11:19AM EDT,465,0.11,0,0.12,0,-,2,53,155.47%,NFLX,C
72,NFLX190920C00470000,2019-09-17 9:30AM EDT,470,0.02,0,0.06,0.01,100.00%,5,"1,149",148.44%,NFLX,C
73,NFLX190920C00475000,2019-08-12 10:49AM EDT,475,0.05,0,0.05,0,-,1,69,149.22%,NFLX,C
74,NFLX190920C00480000,2019-09-10 10:49AM EDT,480,0.09,0,0.12,0,-,1,246,165.23%,NFLX,C
75,NFLX190920C00485000,2019-07-29 9:50AM EDT,485,0.06,0,0.1,0,-,2,19,165.63%,NFLX,C
76,NFLX190920C00490000,2019-08-08 2:50PM EDT,490,0.04,0,0.03,0,-,5,0,151.56%,NFLX,C
77,NFLX190920C00495000,2019-07-25 11:02AM EDT,495,0.08,0,0.06,0,-,-,7,164.06%,NFLX,C
78,NFLX190920C00500000,2019-09-17 10:20AM EDT,500,0.01,0,0.01,0,-,10,"1,467",143.75%,NFLX,C
79,NFLX190920C00505000,2019-08-01 3:35PM EDT,505,0.01,0,0.12,0,-,80,61,180.47%,NFLX,C
80,NFLX190920C00510000,2019-07-26 11:08AM EDT,510,0.04,0,0,0,-,2,12,50.00%,NFLX,C
81,NFLX190920C00520000,2019-09-17 9:30AM EDT,520,0.02,0,0.02,0.01,100.00%,10,860,162.50%,NFLX,C
82,NFLX190920C00540000,2019-09-17 9:46AM EDT,540,0.01,0,0.01,0,-,20,709,162.50%,NFLX,C
83,NFLX190920C00560000,2019-09-17 9:45AM EDT,560,0.01,0,0.01,0,-,10,779,175.00%,NFLX,C
