,Contract Name,Last Trade Date,Strike,Last_Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied_Volatility,Ticker,C/P
16,AAPL190920P00175000,2019-09-17 3:45PM EDT,175,0.01,0,0.01,0,-,20,"11,449",71.88%,AAPL,P
17,AAPL190920P00180000,2019-09-17 3:29PM EDT,180,0.01,0,0.01,-0.02,-66.67%,48,"19,167",65.63%,AAPL,P
18,AAPL190920P00182500,2019-09-17 3:45PM EDT,182.5,0.01,0,0.01,0,-,392,"1,445",60.94%,AAPL,P
19,AAPL190920P00185000,2019-09-17 3:48PM EDT,185,0.01,0.01,0.02,-0.01,-50.00%,174,"15,065",62.50%,AAPL,P
20,AAPL190920P00187500,2019-09-17 3:46PM EDT,187.5,0.01,0,0.02,-0.01,-50.00%,16,"1,522",56.25%,AAPL,P
21,AAPL190920P00190000,2019-09-17 3:48PM EDT,190,0.02,0.01,0.02,-0.01,-33.33%,576,"18,575",53.91%,AAPL,P
22,AAPL190920P00192500,2019-09-17 3:21PM EDT,192.5,0.02,0.02,0.03,-0.02,-50.00%,"2,639","5,599",52.73%,AAPL,P
23,AAPL190920P00195000,2019-09-17 3:57PM EDT,195,0.03,0.02,0.03,-0.02,-40.00%,534,"27,288",49.61%,AAPL,P
24,AAPL190920P00197500,2019-09-17 3:49PM EDT,197.5,0.04,0.01,0.04,-0.03,-42.86%,"5,131","8,350",46.48%,AAPL,P
25,AAPL190920P00200000,2019-09-17 3:59PM EDT,200,0.06,0.05,0.07,-0.03,-33.33%,930,"35,435",45.51%,AAPL,P
26,AAPL190920P00202500,2019-09-17 3:41PM EDT,202.5,0.08,0.05,0.08,-0.04,-33.33%,514,"8,163",41.41%,AAPL,P
27,AAPL190920P00205000,2019-09-17 3:59PM EDT,205,0.11,0.08,0.09,-0.05,-31.25%,"6,487","16,956",37.01%,AAPL,P
28,AAPL190920P00207500,2019-09-17 3:59PM EDT,207.5,0.13,0.12,0.13,-0.1,-43.48%,445,"4,183",34.08%,AAPL,P
29,AAPL190920P00210000,2019-09-17 3:59PM EDT,210,0.18,0.16,0.19,-0.14,-43.75%,"5,315","26,711",30.96%,AAPL,P
30,AAPL190920P00212500,2019-09-17 3:59PM EDT,212.5,0.27,0.27,0.29,-0.25,-48.08%,"2,832","11,637",27.88%,AAPL,P
31,AAPL190920P00215000,2019-09-17 3:59PM EDT,215,0.47,0.47,0.5,-0.41,-46.59%,"9,679","25,761",25.44%,AAPL,P
32,AAPL190920P00217500,2019-09-17 3:59PM EDT,217.5,0.9,0.88,0.92,-0.6,-40.00%,"10,418","14,554",23.51%,AAPL,P
33,AAPL190920P00220000,2019-09-17 3:59PM EDT,220,1.7,1.65,1.7,-0.76,-30.89%,"9,207","9,913",22.07%,AAPL,P
34,AAPL190920P00222500,2019-09-17 3:59PM EDT,222.5,2.94,2.95,3.05,-0.91,-23.64%,"1,239","4,027",21.88%,AAPL,P
35,AAPL190920P00225000,2019-09-17 3:59PM EDT,225,4.8,4.5,4.95,-0.85,-15.04%,663,"8,956",23.10%,AAPL,P
36,AAPL190920P00227500,2019-09-17 3:59PM EDT,227.5,6.9,6.85,7.1,-0.9,-11.54%,"1,167","1,552",23.78%,AAPL,P
37,AAPL190920P00230000,2019-09-17 3:51PM EDT,230,9.75,9.15,9.5,-0.54,-5.25%,176,"2,072",26.86%,AAPL,P
38,AAPL190920P00232500,2019-09-17 3:33PM EDT,232.5,12.25,11.6,12,-0.6,-4.67%,28,372,32.13%,AAPL,P
39,AAPL190920P00235000,2019-09-16 1:16PM EDT,235,15.61,14.1,14.5,0,-,6,32,37.21%,AAPL,P
40,AAPL190920P00237500,2019-09-16 12:01AM EDT,237.5,12.3,16.6,17,0,-,-,8,42.09%,AAPL,P
41,AAPL190920P00240000,2019-09-16 1:37PM EDT,240,20.15,19.1,19.5,0,-,11,84,46.78%,AAPL,P
42,AAPL190920P00242500,2019-09-16 12:01AM EDT,242.5,17.91,21.6,22,0,-,-,1,51.37%,AAPL,P
43,AAPL190920P00245000,2019-09-17 12:37PM EDT,245,25.5,24.1,24.5,0.22,0.87%,4,3,55.86%,AAPL,P
44,AAPL190920P00250000,2019-09-13 3:49PM EDT,250,31.4,29.1,29.5,0,-,2,2,64.45%,AAPL,P
45,AAPL190920P00255000,2019-08-12 9:50AM EDT,255,54.15,29.3,29.65,0,-,10,0,0.00%,AAPL,P
46,AAPL190920P00260000,2019-08-05 10:17AM EDT,260,64.05,46.95,47.1,0,-,10,0,220.31%,AAPL,P
47,AAPL190920P00265000,2019-08-19 12:11AM EDT,265,60.05,43.6,44.75,0,-,-,-,101.76%,AAPL,P
48,AAPL190920P00270000,2019-08-01 1:38PM EDT,270,57.3,59.8,62.45,0,-,-,0,298.00%,AAPL,P
49,AAPL190920P00275000,2019-08-12 12:09AM EDT,275,73.6,52,52.35,0,-,10,0,0.00%,AAPL,P
50,AAPL190920P00280000,2019-08-23 12:10PM EDT,280,76.25,58.7,59.75,0,-,-,0,125.39%,AAPL,P
51,AAPL190920P00305000,2019-08-01 3:20PM EDT,305,96.6,95.85,97.3,0,-,-,0,383.89%,AAPL,P
0,FB190920P00050000,2019-08-05 2:07PM EDT,50,0.01,0,0.03,0,-,1,290,418.75%,FB,P
1,FB190920P00055000,2019-06-07 10:57AM EDT,55,0.02,0,0.02,0,-,25,39,375.00%,FB,P
2,FB190920P00060000,2019-06-07 11:12AM EDT,60,0.02,0,0.02,0,-,5,19,350.00%,FB,P
3,FB190920P00065000,2019-06-07 11:12AM EDT,65,0.01,0,0.02,0,-,100,174,325.00%,FB,P
4,FB190920P00070000,2019-08-02 3:17PM EDT,70,0.01,0,0.03,0,-,100,418,315.63%,FB,P
5,FB190920P00075000,2019-08-12 1:03PM EDT,75,0.01,0,0,0,-,94,197,50.00%,FB,P
6,FB190920P00080000,2019-08-12 1:03PM EDT,80,0.01,0,0,0,-,91,626,100.00%,FB,P
7,FB190920P00085000,2019-08-06 9:32AM EDT,85,0.03,0,0.03,0,-,3,"1,334",256.25%,FB,P
8,FB190920P00090000,2019-09-09 1:54PM EDT,90,0.01,0,0.02,0,-,1,872,231.25%,FB,P
9,FB190920P00095000,2019-08-12 1:00PM EDT,95,0.01,0,0,0,-,38,925,50.00%,FB,P
10,FB190920P00100000,2019-08-16 9:47AM EDT,100,0.01,0.01,0.01,0,-,90,"2,745",198.44%,FB,P
11,FB190920P00105000,2019-08-26 9:35AM EDT,105,0.01,0,0.01,0,-,1,"6,556",175.00%,FB,P
12,FB190920P00110000,2019-08-23 3:32PM EDT,110,0.02,0,0.01,0,-,"1,589","10,420",162.50%,FB,P
13,FB190920P00115000,2019-09-05 11:25AM EDT,115,0.01,0,0.01,0,-,3,"5,540",150.00%,FB,P
14,FB190920P00120000,2019-09-04 12:32PM EDT,120,0.01,0,0.02,0,-,10,"3,609",143.75%,FB,P
15,FB190920P00125000,2019-09-05 9:38AM EDT,125,0.01,0,0.02,0,-,3,"4,563",132.81%,FB,P
16,FB190920P00130000,2019-09-16 3:14PM EDT,130,0.01,0,0.02,0,-,1,"4,783",121.88%,FB,P
17,FB190920P00135000,2019-09-10 10:23AM EDT,135,0.01,0,0.01,0,-,5,"3,473",103.13%,FB,P
18,FB190920P00140000,2019-09-16 3:48PM EDT,140,0.01,0,0.02,0,-,1,"4,773",98.44%,FB,P
19,FB190920P00145000,2019-09-13 2:42PM EDT,145,0.01,0,0.01,-0.02,-66.67%,10,"4,335",81.25%,FB,P
20,FB190920P00150000,2019-09-17 11:23AM EDT,150,0.02,0,0.03,0.01,100.00%,10,"6,778",79.69%,FB,P
21,FB190920P00155000,2019-09-17 12:33PM EDT,155,0.01,0,0.01,0,-,3,"4,845",62.50%,FB,P
22,FB190920P00160000,2019-09-17 2:40PM EDT,160,0.01,0,0.02,0,-,32,"8,941",56.25%,FB,P
23,FB190920P00162500,2019-09-16 12:10PM EDT,162.5,0.03,0,0.03,0,-,22,378,53.91%,FB,P
24,FB190920P00165000,2019-09-17 3:25PM EDT,165,0.01,0.01,0.02,-0.01,-50.00%,13,"8,298",50.39%,FB,P
25,FB190920P00167500,2019-09-16 3:12PM EDT,167.5,0.04,0.01,0.02,0,-,148,"1,211",45.31%,FB,P
26,FB190920P00170000,2019-09-17 3:55PM EDT,170,0.02,0.02,0.03,-0.03,-60.00%,792,"9,730",42.19%,FB,P
27,FB190920P00172500,2019-09-17 3:58PM EDT,172.5,0.03,0.02,0.05,-0.04,-57.14%,147,"1,585",39.65%,FB,P
28,FB190920P00175000,2019-09-17 3:59PM EDT,175,0.05,0.05,0.06,-0.06,-54.55%,427,"8,277",34.77%,FB,P
29,FB190920P00177500,2019-09-17 3:58PM EDT,177.5,0.08,0.07,0.09,-0.09,-52.94%,897,"3,330",31.15%,FB,P
30,FB190920P00180000,2019-09-17 3:59PM EDT,180,0.15,0.13,0.16,-0.2,-57.14%,"3,082","26,211",28.03%,FB,P
31,FB190920P00182500,2019-09-17 3:59PM EDT,182.5,0.31,0.3,0.31,-0.39,-55.71%,"1,802","4,111",25.24%,FB,P
32,FB190920P00185000,2019-09-17 3:59PM EDT,185,0.69,0.65,0.69,-0.65,-48.51%,"5,977","22,012",23.54%,FB,P
33,FB190920P00187500,2019-09-17 3:59PM EDT,187.5,1.38,1.41,1.45,-1.11,-44.58%,"4,161","6,361",22.00%,FB,P
34,FB190920P00190000,2019-09-17 3:59PM EDT,190,2.72,2.75,2.81,-1.62,-37.33%,916,"16,576",21.27%,FB,P
35,FB190920P00192500,2019-09-17 2:52PM EDT,192.5,6.56,4.65,4.8,-0.09,-1.35%,39,"1,363",22.44%,FB,P
36,FB190920P00195000,2019-09-17 3:44PM EDT,195,8,6.9,7.1,-0.8,-9.09%,26,"5,263",24.61%,FB,P
37,FB190920P00197500,2019-09-17 3:49PM EDT,197.5,9.74,9.3,9.55,-1.16,-10.64%,17,65,28.91%,FB,P
38,FB190920P00200000,2019-09-17 3:30PM EDT,200,13.5,11.6,12.1,-0.49,-3.50%,91,"8,313",37.01%,FB,P
39,FB190920P00202500,2019-09-13 1:43PM EDT,202.5,14.81,14.05,14.7,0,-,1,62,46.97%,FB,P
40,FB190920P00205000,2019-09-13 10:52AM EDT,205,17.66,16.6,17.1,0,-,1,725,48.34%,FB,P
41,FB190920P00207500,2019-08-26 10:09AM EDT,207.5,23.4,19.05,19.7,0,-,14,0,58.59%,FB,P
42,FB190920P00210000,2019-09-17 10:21AM EDT,210,23.4,21.6,22.05,1.5,6.85%,6,238,55.66%,FB,P
43,FB190920P00215000,2019-09-09 12:27PM EDT,215,28.45,26.55,27.1,0,-,9,0,68.95%,FB,P
44,FB190920P00220000,2019-09-11 10:42AM EDT,220,32.2,31.55,32.2,0,-,8,2,84.77%,FB,P
45,FB190920P00225000,2019-09-17 2:09PM EDT,225,39.45,36.55,37.2,2.2,5.91%,3,3,94.43%,FB,P
46,FB190920P00230000,2019-08-22 3:06PM EDT,230,48.06,41.55,42.2,0,-,1,0,103.61%,FB,P
47,FB190920P00235000,2019-08-21 3:45PM EDT,235,51.48,46.55,47.2,0,-,2,0,112.50%,FB,P
48,FB190920P00240000,2019-08-16 1:58PM EDT,240,56.75,51.55,52.2,0,-,2,0,121.09%,FB,P
49,FB190920P00245000,2019-08-26 11:02AM EDT,245,65.83,56.55,57.2,0,-,1,0,129.39%,FB,P
50,FB190920P00250000,2019-08-16 1:57PM EDT,250,66.82,61.55,62.2,0,-,5,0,137.50%,FB,P
51,FB190920P00255000,2019-07-17 10:59AM EDT,255,52.75,71.9,72.35,0,-,2,0,285.11%,FB,P
52,FB190920P00290000,2019-09-16 12:14AM EDT,290,101.75,101.55,102.2,0,-,-,-,194.14%,FB,P
53,FB190920P00295000,2019-09-16 12:14AM EDT,295,105.2,106.55,107.2,0,-,-,-,200.39%,FB,P
0,GOOG190920P00620000,2019-09-17 3:36PM EDT,620,0.04,0,0.05,0.01,33.33%,52,443,199.22%,GOOG,P
1,GOOG190920P00640000,2019-08-23 12:12PM EDT,640,0.1,0,0.05,0,-,1,78,190.63%,GOOG,P
2,GOOG190920P00660000,2019-08-28 1:32PM EDT,660,0.2,0,0.15,0,-,1,66,198.83%,GOOG,P
3,GOOG190920P00680000,2019-09-09 2:14PM EDT,680,0.1,0,0.15,0,-,1,31,189.84%,GOOG,P
4,GOOG190920P00700000,2019-09-17 10:29AM EDT,700,0.06,0,0.15,-0.09,-60.00%,8,193,181.25%,GOOG,P
5,GOOG190920P00720000,2019-08-28 3:06PM EDT,720,0.05,0,0.15,0,-,10,35,172.66%,GOOG,P
6,GOOG190920P00740000,2019-08-30 10:31AM EDT,740,0.03,0,0.15,0,-,2,281,164.45%,GOOG,P
7,GOOG190920P00750000,2019-08-19 12:03AM EDT,750,0.1,-,0.15,0,-,-,5,171.09%,GOOG,P
8,GOOG190920P00760000,2019-08-28 3:47PM EDT,760,0.05,0,0.15,0,-,10,511,156.25%,GOOG,P
9,GOOG190920P00780000,2019-08-29 10:07AM EDT,780,0.07,0,0.15,0,-,2,71,148.44%,GOOG,P
10,GOOG190920P00790000,2019-09-11 12:13PM EDT,790,0.05,0,0.15,0,-,5,23,144.53%,GOOG,P
11,GOOG190920P00800000,2019-09-16 2:17PM EDT,800,0.05,0,0.15,0,-,6,569,140.63%,GOOG,P
12,GOOG190920P00820000,2019-08-27 12:30PM EDT,820,0.05,0,0.05,0,-,7,119,121.09%,GOOG,P
13,GOOG190920P00825000,2019-08-27 2:35PM EDT,825,0.05,0,0.15,0,-,5,6,131.25%,GOOG,P
14,GOOG190920P00830000,2019-07-29 10:41AM EDT,830,0.14,0,4.9,0,-,1,3,199.56%,GOOG,P
15,GOOG190920P00840000,2019-09-11 12:50PM EDT,840,0.07,0,0.15,0,-,10,296,125.78%,GOOG,P
16,GOOG190920P00850000,2019-09-11 12:50PM EDT,850,0.08,0,0.15,0,-,10,24,122.27%,GOOG,P
17,GOOG190920P00860000,2019-09-16 2:17PM EDT,860,0.02,0,0.05,0,-,6,129,107.81%,GOOG,P
18,GOOG190920P00865000,2019-07-26 12:34PM EDT,865,0.17,0,0.2,0,-,1,10,120.12%,GOOG,P
19,GOOG190920P00870000,2019-06-26 11:33AM EDT,870,4,0,0.3,0,-,-,0,123.05%,GOOG,P
20,GOOG190920P00875000,2019-08-30 12:07PM EDT,875,0.1,0,0.15,0,-,6,7,113.28%,GOOG,P
21,GOOG190920P00880000,2019-08-15 10:50AM EDT,880,0.8,0,0.7,0,-,4,0,131.15%,GOOG,P
22,GOOG190920P00885000,2019-08-30 12:04PM EDT,885,0.13,0,0.15,0,-,1,24,109.77%,GOOG,P
23,GOOG190920P00890000,2019-07-26 12:37PM EDT,890,0.18,0,0.2,0,-,1,2,111.13%,GOOG,P
24,GOOG190920P00895000,2019-09-05 10:22AM EDT,895,0.05,0,0.15,0,-,10,21,106.25%,GOOG,P
25,GOOG190920P00900000,2019-09-09 12:32PM EDT,900,0.05,0,0.15,0,-,5,384,104.69%,GOOG,P
26,GOOG190920P00905000,2019-06-26 12:01PM EDT,905,6.1,0,0.45,0,-,-,0,115.14%,GOOG,P
27,GOOG190920P00910000,2019-08-05 3:02PM EDT,910,2.22,0,0.15,0,-,10,0,101.17%,GOOG,P
28,GOOG190920P00915000,2019-09-03 12:40PM EDT,915,0.1,0,0.15,0,-,30,61,99.61%,GOOG,P
29,GOOG190920P00920000,2019-09-06 10:18AM EDT,920,0.05,0,0.15,0,-,1,818,97.85%,GOOG,P
30,GOOG190920P00925000,2019-09-17 2:22PM EDT,925,0.05,0,0.05,-1.67,-97.09%,3,0,87.50%,GOOG,P
31,GOOG190920P00930000,2019-07-26 9:46AM EDT,930,0.4,0.05,0.3,0,-,5,8,102.93%,GOOG,P
32,GOOG190920P00935000,2019-08-06 2:33PM EDT,935,1.44,0,0.15,0,-,1,0,92.77%,GOOG,P
33,GOOG190920P00940000,2019-08-29 9:42AM EDT,940,0.1,0,0.15,0,-,1,181,91.02%,GOOG,P
34,GOOG190920P00945000,2019-08-22 10:33AM EDT,945,0.5,0,0.05,0,-,1,22,81.25%,GOOG,P
35,GOOG190920P00950000,2019-08-29 11:46AM EDT,950,0.23,0,0.15,0,-,5,31,87.89%,GOOG,P
36,GOOG190920P00955000,2019-08-06 1:23PM EDT,955,2.35,0,5,0,-,1,0,137.52%,GOOG,P
37,GOOG190920P00960000,2019-09-17 2:22PM EDT,960,0.02,0,0.05,-0.03,-60.00%,3,"1,120",76.56%,GOOG,P
38,GOOG190920P00965000,2019-08-14 11:47AM EDT,965,2.7,0,5,0,-,167,0,132.76%,GOOG,P
39,GOOG190920P00970000,2019-09-16 2:49PM EDT,970,0.05,0,0.15,0,-,95,190,81.25%,GOOG,P
40,GOOG190920P00975000,2019-09-05 10:13AM EDT,975,0.14,0,0.15,0,-,1,51,79.69%,GOOG,P
41,GOOG190920P00980000,2019-09-13 2:36PM EDT,980,0.05,0,0.15,0,-,6,648,78.13%,GOOG,P
42,GOOG190920P00985000,2019-09-05 10:13AM EDT,985,0.25,0,0.15,0,-,3,47,76.56%,GOOG,P
43,GOOG190920P00990000,2019-09-11 2:59PM EDT,990,0.05,0,0.15,0,-,1,93,74.80%,GOOG,P
44,GOOG190920P00995000,2019-09-09 11:35AM EDT,995,0.15,0,0.15,0,-,1,59,73.24%,GOOG,P
45,GOOG190920P01000000,2019-09-16 1:43PM EDT,"1,000.00",0.05,0,0.15,0,-,30,741,71.68%,GOOG,P
46,GOOG190920P01005000,2019-09-16 1:43PM EDT,"1,005.00",0.05,0,0.15,0,-,15,72,70.12%,GOOG,P
47,GOOG190920P01010000,2019-09-10 12:31PM EDT,"1,010.00",0.04,0,0.15,0,-,2,85,68.56%,GOOG,P
48,GOOG190920P01015000,2019-08-26 12:27PM EDT,"1,015.00",2.09,0,0.15,0,-,5,140,66.99%,GOOG,P
49,GOOG190920P01020000,2019-09-11 11:34AM EDT,"1,020.00",0.07,0,0.15,0,-,1,116,65.43%,GOOG,P
50,GOOG190920P01025000,2019-09-06 9:30AM EDT,"1,025.00",0.15,0,0.15,0,-,6,132,63.87%,GOOG,P
51,GOOG190920P01027500,2019-09-09 1:19PM EDT,"1,027.50",0.1,-,0.15,0,-,-,1,67.87%,GOOG,P
52,GOOG190920P01030000,2019-09-16 3:30PM EDT,"1,030.00",0.03,0,0.15,0,-,10,116,62.31%,GOOG,P
53,GOOG190920P01032500,2019-09-09 11:24AM EDT,"1,032.50",0.2,-,0.15,0,-,-,1,66.21%,GOOG,P
54,GOOG190920P01035000,2019-09-13 1:45PM EDT,"1,035.00",0.08,0,0.15,0,-,1,384,60.74%,GOOG,P
55,GOOG190920P01037500,2019-09-09 3:19PM EDT,"1,037.50",0.2,-,0.15,0,-,-,1,64.65%,GOOG,P
56,GOOG190920P01040000,2019-09-13 3:14PM EDT,"1,040.00",0.05,0,0.15,0,-,1,146,59.18%,GOOG,P
57,GOOG190920P01045000,2019-09-06 12:49PM EDT,"1,045.00",0.26,0,0.15,0,-,2,63,57.62%,GOOG,P
58,GOOG190920P01050000,2019-09-16 1:15PM EDT,"1,050.00",0.05,0,0.2,0,-,1,398,57.81%,GOOG,P
59,GOOG190920P01055000,2019-09-05 9:33AM EDT,"1,055.00",0.5,0,0.2,0,-,6,"1,559",56.25%,GOOG,P
60,GOOG190920P01060000,2019-09-12 3:51PM EDT,"1,060.00",0.06,0,0.2,0,-,1,226,54.69%,GOOG,P
61,GOOG190920P01065000,2019-09-11 2:38PM EDT,"1,065.00",0.2,0.1,0.2,0,-,7,495,55.62%,GOOG,P
62,GOOG190920P01070000,2019-09-11 2:19PM EDT,"1,070.00",0.15,0.1,0.2,0,-,1,640,54.00%,GOOG,P
63,GOOG190920P01075000,2019-09-17 1:32PM EDT,"1,075.00",0.08,0,0.2,0.01,14.29%,1,109,50.00%,GOOG,P
64,GOOG190920P01077500,2019-09-09 3:17PM EDT,"1,077.50",0.4,0,0.2,0,-,23,23,53.42%,GOOG,P
65,GOOG190920P01080000,2019-09-17 2:50PM EDT,"1,080.00",0.05,0,0.2,-0.01,-16.67%,30,240,52.59%,GOOG,P
66,GOOG190920P01082500,2019-09-06 1:52PM EDT,"1,082.50",0.5,0,0.2,0,-,1,1,51.76%,GOOG,P
67,GOOG190920P01085000,2019-09-17 3:58PM EDT,"1,085.00",0.05,0,0.05,-0.04,-44.44%,3,154,43.56%,GOOG,P
68,GOOG190920P01087500,2019-09-09 12:19PM EDT,"1,087.50",0.45,0.05,0.2,0,-,1,2,50.10%,GOOG,P
69,GOOG190920P01090000,2019-09-13 11:27AM EDT,"1,090.00",0.08,0.1,0.2,0,-,11,211,49.27%,GOOG,P
70,GOOG190920P01092500,2019-09-13 1:33PM EDT,"1,092.50",0.07,0.1,0.2,0,-,1,6,48.44%,GOOG,P
71,GOOG190920P01095000,2019-09-16 12:41PM EDT,"1,095.00",0.08,0.1,0.2,0,-,1,111,47.61%,GOOG,P
72,GOOG190920P01097500,2019-09-10 2:37PM EDT,"1,097.50",0.65,0.1,0.2,0,-,2,4,46.78%,GOOG,P
73,GOOG190920P01100000,2019-09-17 3:39PM EDT,"1,100.00",0.08,0.05,0.2,-0.12,-60.00%,1,"2,498",45.95%,GOOG,P
74,GOOG190920P01102500,2019-09-10 1:29PM EDT,"1,102.50",0.6,0.15,0.2,0,-,3,5,45.12%,GOOG,P
75,GOOG190920P01105000,2019-09-10 2:30PM EDT,"1,105.00",0.75,0.2,0.2,0,-,3,90,44.29%,GOOG,P
76,GOOG190920P01110000,2019-09-17 10:36AM EDT,"1,110.00",0.11,0,0.2,-0.11,-50.00%,2,341,42.63%,GOOG,P
77,GOOG190920P01112500,2019-09-06 3:52PM EDT,"1,112.50",1,0,0.25,0,-,7,5,43.07%,GOOG,P
78,GOOG190920P01115000,2019-09-16 11:30AM EDT,"1,115.00",0.13,0,0.25,0,-,27,368,42.24%,GOOG,P
79,GOOG190920P01117500,2019-09-11 10:32AM EDT,"1,117.50",0.55,0,0.25,0,-,1,8,41.41%,GOOG,P
80,GOOG190920P01120000,2019-09-17 3:39PM EDT,"1,120.00",0.15,0.1,0.15,-0.07,-31.82%,2,460,37.89%,GOOG,P
81,GOOG190920P01122500,2019-09-10 2:47PM EDT,"1,122.50",1.4,0,0.25,0,-,2,3,39.70%,GOOG,P
82,GOOG190920P01125000,2019-09-13 3:53PM EDT,"1,125.00",0.25,0,0.25,0,-,2,275,38.87%,GOOG,P
83,GOOG190920P01127500,2019-09-11 10:58AM EDT,"1,127.50",0.65,0,0.25,0,-,-,8,38.04%,GOOG,P
84,GOOG190920P01130000,2019-09-17 12:56PM EDT,"1,130.00",0.1,0,0.25,-0.17,-62.96%,29,654,37.16%,GOOG,P
85,GOOG190920P01132500,2019-09-16 11:24AM EDT,"1,132.50",0.2,0,0.3,0,-,5,14,37.31%,GOOG,P
86,GOOG190920P01135000,2019-09-17 12:57PM EDT,"1,135.00",0.13,0,0.3,-0.1,-43.48%,4,392,36.43%,GOOG,P
87,GOOG190920P01137500,2019-09-11 10:53AM EDT,"1,137.50",0.9,0,0.3,0,-,1,4,35.57%,GOOG,P
88,GOOG190920P01140000,2019-09-17 9:45AM EDT,"1,140.00",0.2,0.1,0.35,-0.05,-20.00%,2,211,35.52%,GOOG,P
89,GOOG190920P01142500,2019-09-11 12:16PM EDT,"1,142.50",0.9,0.05,0.35,0,-,4,18,34.64%,GOOG,P
90,GOOG190920P01145000,2019-09-17 2:52PM EDT,"1,145.00",0.25,0.05,0.35,-0.19,-43.18%,1,99,33.77%,GOOG,P
91,GOOG190920P01147500,2019-09-13 10:11AM EDT,"1,147.50",0.45,0.05,0.35,0,-,6,18,32.89%,GOOG,P
92,GOOG190920P01150000,2019-09-17 3:03PM EDT,"1,150.00",0.25,0.2,0.3,-0.04,-13.79%,17,312,31.25%,GOOG,P
93,GOOG190920P01152500,2019-09-12 2:23PM EDT,"1,152.50",0.6,0.1,0.4,0,-,11,55,31.79%,GOOG,P
94,GOOG190920P01155000,2019-09-16 12:12PM EDT,"1,155.00",0.32,0.1,0.4,0,-,1,84,30.88%,GOOG,P
95,GOOG190920P01157500,2019-09-17 1:23PM EDT,"1,157.50",0.33,0.1,0.45,-0.17,-34.00%,1,74,30.59%,GOOG,P
96,GOOG190920P01160000,2019-09-17 3:08PM EDT,"1,160.00",0.29,0.15,0.45,-0.16,-35.56%,13,307,29.66%,GOOG,P
97,GOOG190920P01162500,2019-09-16 2:51PM EDT,"1,162.50",0.42,0.15,0.45,0,-,5,109,28.76%,GOOG,P
98,GOOG190920P01165000,2019-09-17 3:06PM EDT,"1,165.00",0.35,0.2,0.45,-0.15,-30.00%,20,175,27.83%,GOOG,P
99,GOOG190920P01167500,2019-09-17 10:51AM EDT,"1,167.50",0.48,0.2,0.5,-0.07,-12.73%,1,58,27.42%,GOOG,P
100,GOOG190920P01170000,2019-09-17 3:36PM EDT,"1,170.00",0.35,0.25,0.55,-0.22,-38.60%,9,"1,270",26.95%,GOOG,P
101,GOOG190920P01172500,2019-09-16 12:09PM EDT,"1,172.50",0.55,0.25,0.55,0,-,3,50,26.00%,GOOG,P
102,GOOG190920P01175000,2019-09-17 10:32AM EDT,"1,175.00",0.55,0.3,0.6,-0.05,-8.33%,3,240,25.46%,GOOG,P
103,GOOG190920P01177500,2019-09-17 10:49AM EDT,"1,177.50",0.67,0.3,0.65,0.02,3.08%,5,48,24.88%,GOOG,P
104,GOOG190920P01180000,2019-09-17 10:10AM EDT,"1,180.00",0.65,0.4,0.7,-0.05,-7.14%,3,402,24.27%,GOOG,P
