,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Ticker,C/P
15,NFLX190920P00240000,2019-09-17 3:33PM EDT,240.00,0.02,0.01,0.03,-0.03,-60.00%,41,"1,818",76.56%,NFLX,P
16,NFLX190920P00245000,2019-09-17 11:29AM EDT,245.00,0.05,0.02,0.04,-0.02,-28.57%,68,"1,567",72.66%,NFLX,P
17,NFLX190920P00247500,2019-09-17 11:09AM EDT,247.50,0.06,0.00,0.04,-0.10,-62.50%,17,100,66.41%,NFLX,P
18,NFLX190920P00250000,2019-09-17 3:35PM EDT,250.00,0.04,0.01,0.04,-0.05,-55.56%,87,"2,089",64.84%,NFLX,P
19,NFLX190920P00252500,2019-09-17 10:12AM EDT,252.50,0.09,0.00,0.05,-0.12,-57.14%,3,261,61.33%,NFLX,P
20,NFLX190920P00255000,2019-09-17 3:55PM EDT,255.00,0.05,0.02,0.05,-0.07,-58.33%,159,"2,067",60.16%,NFLX,P
21,NFLX190920P00257500,2019-09-17 3:07PM EDT,257.50,0.08,0.02,0.13,-0.06,-42.86%,32,157,62.70%,NFLX,P
22,NFLX190920P00260000,2019-09-17 3:50PM EDT,260.00,0.08,0.05,0.11,-0.12,-60.00%,212,"4,819",59.57%,NFLX,P
23,NFLX190920P00262500,2019-09-17 3:47PM EDT,262.50,0.03,0.04,0.16,-0.14,-82.35%,3,273,57.72%,NFLX,P
24,NFLX190920P00265000,2019-09-17 3:58PM EDT,265.00,0.07,0.03,0.10,-0.14,-66.67%,85,"3,835",50.78%,NFLX,P
25,NFLX190920P00267500,2019-09-17 3:56PM EDT,267.50,0.10,0.08,0.12,-0.16,-61.54%,57,369,50.39%,NFLX,P
26,NFLX190920P00270000,2019-09-17 3:58PM EDT,270.00,0.11,0.08,0.14,-0.20,-64.52%,433,"6,983",49.22%,NFLX,P
27,NFLX190920P00272500,2019-09-17 3:55PM EDT,272.50,0.14,0.14,0.16,-0.29,-67.44%,223,578,46.39%,NFLX,P
28,NFLX190920P00275000,2019-09-17 3:58PM EDT,275.00,0.13,0.12,0.16,-0.33,-71.74%,503,"2,636",42.48%,NFLX,P
29,NFLX190920P00277500,2019-09-17 3:51PM EDT,277.50,0.20,0.15,0.20,-0.42,-67.74%,144,"1,192",40.19%,NFLX,P
30,NFLX190920P00280000,2019-09-17 3:59PM EDT,280.00,0.23,0.22,0.26,-0.58,-71.60%,994,"14,336",38.09%,NFLX,P
31,NFLX190920P00282500,2019-09-17 3:59PM EDT,282.50,0.32,0.30,0.33,-0.71,-68.93%,595,"2,137",35.69%,NFLX,P
32,NFLX190920P00285000,2019-09-17 3:59PM EDT,285.00,0.42,0.41,0.46,-0.92,-68.66%,"1,166","4,735",33.94%,NFLX,P
33,NFLX190920P00287500,2019-09-17 3:59PM EDT,287.50,0.64,0.58,0.67,-1.22,-65.59%,"1,221","2,309",32.57%,NFLX,P
34,NFLX190920P00290000,2019-09-17 3:59PM EDT,290.00,0.93,0.89,0.97,-1.53,-62.20%,"4,919","7,362",31.15%,NFLX,P
35,NFLX190920P00292500,2019-09-17 3:59PM EDT,292.50,1.40,1.37,1.43,-2.00,-58.82%,"3,959","5,224",30.05%,NFLX,P
36,NFLX190920P00295000,2019-09-17 3:59PM EDT,295.00,2.09,2.05,2.13,-2.36,-53.03%,"6,145","7,395",29.46%,NFLX,P
37,NFLX190920P00297500,2019-09-17 3:59PM EDT,297.50,3.23,3.00,3.10,-2.62,-44.79%,"2,502",780,29.11%,NFLX,P
38,NFLX190920P00300000,2019-09-17 3:59PM EDT,300.00,4.50,4.30,4.40,-3.13,-41.02%,"1,831","13,267",29.26%,NFLX,P
39,NFLX190920P00302500,2019-09-17 3:59PM EDT,302.50,6.10,5.85,6.05,-3.44,-36.06%,234,289,30.15%,NFLX,P
40,NFLX190920P00305000,2019-09-17 3:59PM EDT,305.00,8.02,7.75,7.90,-3.58,-30.86%,597,"1,632",30.88%,NFLX,P
41,NFLX190920P00307500,2019-09-17 3:55PM EDT,307.50,9.99,9.55,10.10,-3.79,-27.50%,103,145,33.57%,NFLX,P
42,NFLX190920P00310000,2019-09-17 3:50PM EDT,310.00,11.80,11.70,12.40,-4.90,-29.34%,158,"9,476",36.45%,NFLX,P
43,NFLX190920P00312500,2019-09-17 2:55PM EDT,312.50,14.98,13.85,15.20,-2.91,-16.27%,10,139,45.26%,NFLX,P
44,NFLX190920P00315000,2019-09-17 3:51PM EDT,315.00,16.52,16.35,17.10,-4.44,-21.18%,75,"2,558",41.48%,NFLX,P
45,NFLX190920P00317500,2019-09-16 3:58PM EDT,317.50,23.39,18.60,20.00,0.00,-,1,84,52.17%,NFLX,P
46,NFLX190920P00320000,2019-09-17 3:46PM EDT,320.00,21.50,21.45,21.95,-4.88,-18.50%,82,"3,069",47.02%,NFLX,P
47,NFLX190920P00322500,2019-09-16 9:32AM EDT,322.50,27.85,22.45,25.35,0.00,-,2,13,66.31%,NFLX,P
48,NFLX190920P00325000,2019-09-17 3:18PM EDT,325.00,27.46,26.00,27.50,-3.40,-11.02%,12,"2,605",65.28%,NFLX,P
49,NFLX190920P00327500,2019-09-11 11:34AM EDT,327.50,35.50,28.30,30.25,0.00,-,-,1,53.91%,NFLX,P
50,NFLX190920P00330000,2019-09-17 3:57PM EDT,330.00,31.40,30.85,32.30,-4.70,-13.02%,97,"7,674",69.78%,NFLX,P
51,NFLX190920P00335000,2019-09-17 3:57PM EDT,335.00,36.38,35.80,37.65,-4.90,-11.87%,11,591,62.40%,NFLX,P
52,NFLX190920P00340000,2019-09-17 3:26PM EDT,340.00,42.02,40.80,42.30,-6.02,-12.53%,14,731,60.55%,NFLX,P
53,NFLX190920P00345000,2019-09-17 11:08AM EDT,345.00,49.29,45.75,47.25,-1.99,-3.88%,47,325,62.50%,NFLX,P
54,NFLX190920P00350000,2019-09-17 1:18PM EDT,350.00,52.65,50.75,52.45,-1.60,-2.95%,1,939,74.90%,NFLX,P
55,NFLX190920P00355000,2019-09-12 3:52PM EDT,355.00,65.60,55.75,57.30,0.00,-,155,487,75.20%,NFLX,P
56,NFLX190920P00360000,2019-09-12 3:52PM EDT,360.00,70.60,60.75,62.45,0.00,-,181,664,85.84%,NFLX,P
57,NFLX190920P00365000,2019-09-13 3:32PM EDT,365.00,70.80,65.75,67.60,0.00,-,100,184,95.61%,NFLX,P
58,NFLX190920P00370000,2019-09-13 3:32PM EDT,370.00,75.85,70.75,72.25,0.00,-,100,211,87.70%,NFLX,P
59,NFLX190920P00375000,2019-09-17 12:50PM EDT,375.00,78.40,75.80,77.45,-2.45,-3.03%,9,201,103.03%,NFLX,P
60,NFLX190920P00380000,2019-09-12 3:52PM EDT,380.00,90.60,80.75,82.30,0.00,-,70,106,99.80%,NFLX,P
61,NFLX190920P00385000,2019-09-13 1:13PM EDT,385.00,89.40,85.25,87.50,0.00,-,20,56,147.80%,NFLX,P
62,NFLX190920P00390000,2019-09-11 2:22PM EDT,390.00,100.80,90.70,92.65,0.00,-,2,2,121.19%,NFLX,P
63,NFLX190920P00395000,2019-08-26 3:00PM EDT,395.00,100.66,95.70,97.65,0.00,-,263,0,125.98%,NFLX,P
64,NFLX190920P00400000,2019-08-15 3:52PM EDT,400.00,104.70,105.40,106.55,0.00,-,30,0,230.93%,NFLX,P
65,NFLX190920P00405000,2019-09-10 9:33AM EDT,405.00,115.00,105.75,107.50,0.00,-,10,0,131.64%,NFLX,P
66,NFLX190920P00410000,2019-07-31 2:45PM EDT,410.00,87.10,115.60,116.90,0.00,-,5,1,248.00%,NFLX,P
67,NFLX190920P00415000,2019-07-24 1:23PM EDT,415.00,96.90,117.95,118.70,0.00,-,6,3,202.44%,NFLX,P
68,NFLX190920P00420000,2019-08-28 12:31PM EDT,420.00,129.10,120.65,122.50,0.00,-,30,0,140.04%,NFLX,P
69,NFLX190920P00425000,2019-09-03 12:56PM EDT,425.00,133.60,125.25,127.50,0.00,-,10,1,190.87%,NFLX,P
70,NFLX190920P00430000,2019-08-28 12:31PM EDT,430.00,139.20,130.25,132.50,0.00,-,40,0,195.80%,NFLX,P
71,NFLX190920P00435000,2019-08-28 12:31PM EDT,435.00,144.20,135.75,137.35,0.00,-,40,0,149.41%,NFLX,P
72,NFLX190920P00440000,2019-08-28 12:31PM EDT,440.00,149.10,140.80,142.25,0.00,-,30,0,150.00%,NFLX,P
73,NFLX190920P00445000,2019-08-29 1:21PM EDT,445.00,146.15,145.25,147.50,0.00,-,10,0,210.11%,NFLX,P
74,NFLX190920P00450000,2019-09-09 10:03AM EDT,450.00,150.10,150.25,152.50,0.00,-,34,0,214.75%,NFLX,P
75,NFLX190920P00455000,2019-08-27 2:00PM EDT,455.00,165.38,155.65,157.50,0.00,-,5,0,167.58%,NFLX,P
76,NFLX190920P00460000,2019-07-22 3:44PM EDT,460.00,151.35,162.95,163.70,0.00,-,145,0,248.49%,NFLX,P
77,NFLX190920P00465000,2019-07-22 12:09AM EDT,465.00,141.60,168.65,169.40,0.00,-,-,-,270.02%,NFLX,P
78,NFLX190920P00470000,2019-07-23 2:46PM EDT,470.00,161.50,172.95,173.70,0.00,-,6,0,257.86%,NFLX,P
79,NFLX190920P00480000,2019-07-19 9:35AM EDT,480.00,158.00,182.95,183.70,0.00,-,1,0,266.89%,NFLX,P
80,NFLX190920P00485000,2019-07-22 12:09AM EDT,485.00,117.99,187.95,188.70,0.00,-,-,2,271.34%,NFLX,P
81,NFLX190920P00490000,2019-07-22 12:09AM EDT,490.00,167.88,192.95,193.70,0.00,-,1,0,275.68%,NFLX,P
82,NFLX190920P00500000,2019-07-05 9:52AM EDT,500.00,123.20,189.25,190.45,0.00,-,2,0,0.00%,NFLX,P
83,NFLX190920P00505000,2019-07-09 1:17PM EDT,505.00,124.80,195.15,196.85,0.00,-,6,0,0.00%,NFLX,P
84,NFLX190920P00520000,2019-06-07 11:04AM EDT,520.00,162.35,137.40,142.00,0.00,-,-,0,0.00%,NFLX,P
85,NFLX190920P00560000,2019-09-10 1:41PM EDT,560.00,273.15,260.25,262.50,0.00,-,-,-,301.17%,NFLX,P
