,Strike,Call_Contract_Name,Call Last Trade Date,Call Last Price,Call Bid,Call Ask,Call Change,Call % Change,Call Volume,Call Open Interest,Call_Implied_Volatility,Ticker,Put_Contract_Name,Put Last Trade Date,Put Last Price,Put Bid,Put Ask,Put Change,Put % Change,Put Volume,Put Open Interest,Put_Implied_Volatility
30,212.5,AAPL190920C00212500,2019-09-17 3:56PM EDT,8.37,8.25,8.95,0.37,4.62%,259,"5,263",0.3735,AAPL,AAPL190920P00212500,2019-09-17 3:59PM EDT,0.27,0.27,0.29,-0.25,-48.08%,"2,832","11,637",0.2788
31,215,AAPL190920C00215000,2019-09-17 3:59PM EDT,6.3,6.05,6.35,0.4,6.78%,"1,650","16,595",0.28,AAPL,AAPL190920P00215000,2019-09-17 3:59PM EDT,0.47,0.47,0.5,-0.41,-46.59%,"9,679","25,761",0.2544
32,217.5,AAPL190920C00217500,2019-09-17 3:59PM EDT,4.2,4.1,4.25,0.1,2.44%,"3,526","8,577",0.252,AAPL,AAPL190920P00217500,2019-09-17 3:59PM EDT,0.9,0.88,0.92,-0.6,-40.00%,"10,418","14,554",0.2351
33,220,AAPL190920C00220000,2019-09-17 3:59PM EDT,2.44,2.4,2.48,-0.02,-0.81%,"19,756","28,864",0.2295,AAPL,AAPL190920P00220000,2019-09-17 3:59PM EDT,1.7,1.65,1.7,-0.76,-30.89%,"9,207","9,913",0.2207
34,222.5,AAPL190920C00222500,2019-09-17 3:59PM EDT,1.26,1.21,1.26,-0.09,-6.67%,"17,416","11,375",0.2197,AAPL,AAPL190920P00222500,2019-09-17 3:59PM EDT,2.94,2.95,3.05,-0.91,-23.64%,"1,239","4,027",0.2188
35,225,AAPL190920C00225000,2019-09-17 3:59PM EDT,0.56,0.53,0.56,-0.13,-18.84%,"15,819","31,347",0.2173,AAPL,AAPL190920P00225000,2019-09-17 3:59PM EDT,4.8,4.5,4.95,-0.85,-15.04%,663,"8,956",0.231
36,227.5,AAPL190920C00227500,2019-09-17 3:59PM EDT,0.24,0.22,0.23,-0.08,-25.00%,"5,938","10,123",0.2207,AAPL,AAPL190920P00227500,2019-09-17 3:59PM EDT,6.9,6.85,7.1,-0.9,-11.54%,"1,167","1,552",0.2378
37,230,AAPL190920C00230000,2019-09-17 3:59PM EDT,0.09,0.09,0.1,-0.08,-47.06%,"4,841","35,282",0.2319,AAPL,AAPL190920P00230000,2019-09-17 3:51PM EDT,9.75,9.15,9.5,-0.54,-5.25%,176,"2,072",0.2686
38,232.5,AAPL190920C00232500,2019-09-17 3:59PM EDT,0.04,0.04,0.05,-0.04,-50.00%,625,"9,125",0.2481,AAPL,AAPL190920P00232500,2019-09-17 3:33PM EDT,12.25,11.6,12,-0.6,-4.67%,28,372,0.3213
39,235,AAPL190920C00235000,2019-09-17 3:24PM EDT,0.02,0.02,0.03,-0.03,-60.00%,"1,043","11,282",0.2695,AAPL,AAPL190920P00235000,2019-09-16 1:16PM EDT,15.61,14.1,14.5,0,-,6,32,0.3721
40,237.5,AAPL190920C00237500,2019-09-17 3:59PM EDT,0.01,0.01,0.02,-0.03,-75.00%,257,"3,133",0.293,AAPL,AAPL190920P00237500,2019-09-16 12:01AM EDT,12.3,16.6,17,0,-,-,8,0.4209
41,240,AAPL190920C00240000,2019-09-17 3:56PM EDT,0.01,0,0.01,-0.01,-50.00%,440,"6,413",0.3047,AAPL,AAPL190920P00240000,2019-09-16 1:37PM EDT,20.15,19.1,19.5,0,-,11,84,0.4678
42,242.5,AAPL190920C00242500,2019-09-17 1:52PM EDT,0.01,0,0.01,0,-,41,"1,445",0.3359,AAPL,AAPL190920P00242500,2019-09-16 12:01AM EDT,17.91,21.6,22,0,-,-,1,0.5137
43,245,AAPL190920C00245000,2019-09-17 10:01AM EDT,0.01,0,0.01,0,-,40,"4,284",0.375,AAPL,AAPL190920P00245000,2019-09-17 12:37PM EDT,25.5,24.1,24.5,0.22,0.87%,4,3,0.5586
44,250,AAPL190920C00250000,2019-09-16 9:30AM EDT,0.01,0,0.01,0,-,3,"4,688",0.4375,AAPL,AAPL190920P00250000,2019-09-13 3:49PM EDT,31.4,29.1,29.5,0,-,2,2,0.6445
45,255,AAPL190920C00255000,2019-09-16 9:30AM EDT,0.01,0,0.01,0,-,1,"1,591",0.5,AAPL,AAPL190920P00255000,2019-08-12 9:50AM EDT,54.15,29.3,29.65,0,-,10,0,0
46,260,AAPL190920C00260000,2019-09-13 1:48PM EDT,0.01,0,0.01,0,-,375,"2,551",0.5156,AAPL,AAPL190920P00260000,2019-08-05 10:17AM EDT,64.05,46.95,47.1,0,-,10,0,2.2031
47,265,AAPL190920C00265000,2019-09-17 9:30AM EDT,0.01,0,0.01,0,-,6,354,0.5781,AAPL,AAPL190920P00265000,2019-08-19 12:11AM EDT,60.05,43.6,44.75,0,-,-,-,1.0176
48,270,AAPL190920C00270000,2019-09-12 11:50AM EDT,0.01,0,0.01,0,-,10,"2,145",0.625,AAPL,AAPL190920P00270000,2019-08-01 1:38PM EDT,57.3,59.8,62.45,0,-,-,0,2.98
49,275,AAPL190920C00275000,2019-09-09 1:46PM EDT,0.01,0,0.01,0,-,10,"2,967",0.6875,AAPL,AAPL190920P00275000,2019-08-12 12:09AM EDT,73.6,52,52.35,0,-,10,0,0
50,280,AAPL190920C00280000,2019-08-28 11:24AM EDT,0.01,0,0.01,0,-,1,808,0.7344,AAPL,AAPL190920P00280000,2019-08-23 12:10PM EDT,76.25,58.7,59.75,0,-,-,0,1.2539
51,285,AAPL190920C00285000,2019-07-29 10:54AM EDT,0.02,0,0.03,0,-,10,25,0.8594,AAPL,AAPL190920P00305000,2019-08-01 3:20PM EDT,96.6,95.85,97.3,0,-,-,0,3.8389
52,290,AAPL190920C00290000,2019-09-12 1:37PM EDT,0.02,0,0.02,0,-,1,297,0.875,AAPL,,,,,,,,,,
53,295,AAPL190920C00295000,2019-09-17 1:12PM EDT,0.03,0,0.06,0.02,200.00%,8,5,1.0313,AAPL,,,,,,,,,,
54,300,AAPL190920C00300000,2019-08-19 9:49AM EDT,0.01,0,0.03,0,-,20,29,1.0156,AAPL,,,,,,,,,,
55,305,AAPL190920C00305000,2019-09-17 2:34PM EDT,0.01,-,0.01,0,-,1,45,1.0313,AAPL,,,,,,,,,,
